id,rollout/opd_reverse_kl,rollout/truncated,rollout/response_lengths,rollout/log_probs,rollout/teacher_log_probs,rollout/ref_log_probs,train/loss,train/pg_loss,train/kl_loss,train/entropy_loss,train/grad_norm,train/lr-pg_0
352,0.098684,0.925781,4025.761719,-0.288579,-0.387263,-0.355173,0.098684,0.098684,0.066098,0.286720,0.416745,0.000002
353,0.098673,0.941406,4045.890625,-0.294303,-0.392977,-0.361335,0.098673,0.098673,0.067025,0.294112,0.410713,0.000002
354,0.098894,0.960938,4074.164062,-0.295433,-0.394327,-0.362126,0.098894,0.098894,0.066539,0.294510,0.364914,0.000002
355,0.100107,0.867188,3979.089844,-0.286853,-0.386960,-0.350606,0.100107,0.100107,0.064157,0.286652,0.382251,0.000002
356,0.106418,0.941406,4041.148438,-0.311337,-0.417755,-0.380880,0.106418,0.106418,0.069487,0.310926,0.363248,0.000002
357,0.104361,0.933594,4042.359375,-0.301856,-0.406216,-0.369803,0.104361,0.104361,0.068009,0.300773,0.382141,0.000002
358,0.104430,0.914062,4043.824219,-0.303144,-0.407574,-0.370242,0.104430,0.104430,0.067093,0.302634,0.453520,0.000002
359,0.094884,0.906250,4012.882812,-0.290388,-0.385273,-0.355742,0.094885,0.094885,0.065496,0.290136,0.373803,0.000002
360,0.103390,0.917969,4015.257812,-0.305375,-0.408765,-0.374070,0.103390,0.103390,0.069004,0.305472,0.369304,0.000002
361,0.103470,0.921875,4037.804688,-0.312948,-0.416418,-0.383128,0.103470,0.103470,0.070569,0.312020,0.409349,0.000002
362,0.101035,0.953125,4048.867188,-0.309592,-0.410627,-0.379504,0.101035,0.101035,0.069990,0.309031,0.427628,0.000002
363,0.095203,0.890625,4028.746094,-0.278912,-0.374115,-0.342303,0.095203,0.095203,0.063353,0.278673,0.385726,0.000002
364,0.096757,0.890625,4022.542969,-0.291986,-0.388742,-0.359261,0.096757,0.096757,0.067168,0.290543,0.386274,0.000002
365,0.094662,0.917969,4052.847656,-0.290952,-0.385614,-0.356544,0.094662,0.094662,0.065913,0.291023,0.360905,0.000002
366,0.106060,0.941406,4047.339844,-0.307573,-0.413633,-0.376034,0.106060,0.106060,0.069054,0.307642,0.389224,0.000002
367,0.103237,0.875000,3985.218750,-0.309552,-0.412789,-0.379248,0.103237,0.103237,0.069887,0.309739,0.361585,0.000002
368,0.103997,0.945312,4037.082031,-0.298270,-0.402267,-0.364398,0.103997,0.103997,0.066531,0.298408,0.419147,0.000002
369,0.098299,0.929688,4034.511719,-0.292198,-0.390497,-0.358830,0.098299,0.098299,0.066665,0.291109,0.409229,0.000002
370,0.098480,0.945312,4056.101562,-0.301758,-0.400238,-0.371128,0.098480,0.098480,0.069219,0.300485,0.356095,0.000002
371,0.100547,0.890625,4022.757812,-0.300893,-0.401440,-0.371056,0.100547,0.100547,0.069869,0.300425,0.364148,0.000002
372,0.098253,0.960938,4072.886719,-0.291596,-0.389850,-0.356058,0.098253,0.098253,0.064765,0.291876,0.380572,0.000002
373,0.102967,0.902344,4013.445312,-0.311531,-0.414498,-0.381083,0.102967,0.102967,0.070133,0.311871,0.386237,0.000002
374,0.098738,0.933594,4047.089844,-0.303149,-0.401887,-0.371643,0.098738,0.098738,0.068347,0.301991,0.359201,0.000002
375,0.105979,0.898438,3996.121094,-0.309166,-0.415144,-0.378561,0.105979,0.105979,0.069653,0.309225,0.387955,0.000002
376,0.102652,0.941406,4040.488281,-0.299151,-0.401803,-0.365344,0.102652,0.102652,0.066301,0.298489,0.403226,0.000002
377,0.101780,0.875000,3972.695312,-0.291132,-0.392911,-0.356930,0.101780,0.101780,0.065969,0.291251,0.411562,0.000002
378,0.108428,0.960938,4077.839844,-0.316461,-0.424889,-0.387934,0.108428,0.108428,0.071659,0.316377,0.380291,0.000002
379,0.104442,0.921875,4034.351562,-0.308224,-0.412666,-0.377790,0.104442,0.104442,0.070008,0.308738,0.385640,0.000002
380,0.111440,0.914062,4022.515625,-0.325100,-0.436540,-0.399584,0.111440,0.111440,0.074696,0.324370,0.397475,0.000002
381,0.093984,0.917969,4032.699219,-0.286662,-0.380646,-0.351985,0.093984,0.093984,0.066015,0.288054,0.375659,0.000002
382,0.109844,0.921875,3987.648438,-0.312689,-0.422532,-0.385041,0.109844,0.109844,0.072204,0.312010,0.410502,0.000002
383,0.098578,0.855469,3915.890625,-0.298538,-0.397116,-0.369201,0.098578,0.098578,0.070951,0.298658,0.370677,0.000002
384,0.106517,0.910156,4032.511719,-0.314123,-0.420640,-0.386230,0.106517,0.106517,0.072203,0.312820,0.402285,0.000002
385,0.106857,0.914062,3978.863281,-0.308831,-0.415688,-0.379062,0.106857,0.106857,0.070000,0.308213,0.410211,0.000002
386,0.100859,0.886719,3934.761719,-0.306876,-0.407735,-0.377267,0.100859,0.100859,0.070053,0.305879,0.369008,0.000002
387,0.105527,0.957031,4053.183594,-0.318867,-0.424394,-0.391371,0.105527,0.105527,0.072883,0.318205,0.463143,0.000002
388,0.102427,0.917969,3993.976562,-0.301539,-0.403966,-0.370376,0.102427,0.102427,0.068922,0.301144,0.566243,0.000002
389,0.094942,0.894531,4018.250000,-0.293096,-0.388038,-0.360878,0.094942,0.094942,0.067965,0.292621,0.369971,0.000002
390,0.096172,0.953125,4057.351562,-0.289303,-0.385475,-0.354889,0.096172,0.096172,0.066034,0.289414,0.372677,0.000002
391,0.099940,0.878906,3983.898438,-0.304470,-0.404410,-0.375565,0.099940,0.099940,0.071155,0.303408,0.401591,0.000002
392,0.098870,0.933594,4018.964844,-0.295618,-0.394489,-0.363485,0.098870,0.098870,0.068051,0.295381,0.364860,0.000002
393,0.099630,0.929688,4021.214844,-0.303494,-0.403124,-0.373217,0.099630,0.099630,0.070232,0.304241,0.383146,0.000002
394,0.101066,0.863281,3957.203125,-0.298116,-0.399182,-0.367819,0.101066,0.101066,0.069611,0.297665,0.395028,0.000002
395,0.105002,0.949219,4060.199219,-0.306556,-0.411559,-0.375553,0.105002,0.105002,0.068712,0.306400,0.381498,0.000002
396,0.099356,0.871094,3966.460938,-0.306786,-0.406142,-0.377811,0.099356,0.099356,0.070898,0.305777,0.383154,0.000002
397,0.104926,0.917969,4037.257812,-0.303650,-0.408576,-0.372670,0.104926,0.104926,0.069124,0.303364,0.398119,0.000002
398,0.097383,0.933594,4047.722656,-0.297997,-0.395380,-0.366560,0.097383,0.097383,0.068860,0.297793,0.406183,0.000002
399,0.102913,0.929688,4049.609375,-0.300599,-0.403512,-0.368080,0.102913,0.102913,0.067621,0.300596,0.445423,0.000002
400,0.098956,0.906250,3979.714844,-0.294332,-0.393288,-0.360811,0.098956,0.098956,0.066082,0.292230,0.392622,0.000002
401,0.096713,0.960938,4030.750000,-0.290224,-0.386937,-0.355765,0.096713,0.096713,0.065241,0.288636,0.368698,0.000002
402,0.099663,0.914062,4024.707031,-0.285035,-0.384698,-0.350939,0.099663,0.099663,0.066481,0.284868,0.418000,0.000002
403,0.108629,0.875000,3974.464844,-0.311042,-0.419671,-0.381386,0.108629,0.108629,0.070518,0.310736,0.418665,0.000002
404,0.098818,0.937500,4042.007812,-0.296562,-0.395380,-0.364633,0.098818,0.098818,0.067986,0.296238,0.381577,0.000002
405,0.097637,0.914062,4017.144531,-0.297468,-0.395105,-0.365885,0.097637,0.097637,0.068367,0.297614,0.367677,0.000002
406,0.101400,0.949219,4059.980469,-0.305944,-0.407344,-0.376932,0.101400,0.101400,0.070696,0.304540,0.385375,0.000002
407,0.093768,0.960938,4081.593750,-0.297763,-0.391531,-0.366891,0.093768,0.093768,0.069451,0.298156,0.342368,0.000002
408,0.101233,0.968750,4074.386719,-0.301718,-0.402950,-0.371013,0.101233,0.101233,0.069703,0.299984,0.374377,0.000002
409,0.101657,0.925781,4041.992188,-0.297302,-0.398959,-0.366356,0.101657,0.101657,0.069315,0.296514,0.359166,0.000002
410,0.099987,0.941406,4057.121094,-0.301636,-0.401623,-0.371459,0.099987,0.099987,0.069699,0.301225,0.370868,0.000002
411,0.099719,0.941406,3990.644531,-0.305145,-0.404865,-0.378046,0.099719,0.099719,0.072965,0.304411,0.373391,0.000002
412,0.100110,0.968750,4067.074219,-0.304731,-0.404841,-0.373739,0.100110,0.100110,0.068963,0.304494,0.371999,0.000002
413,0.096428,0.839844,3936.625000,-0.289820,-0.386248,-0.357642,0.096428,0.096428,0.067556,0.289369,0.389244,0.000002
414,0.096823,0.886719,3938.304688,-0.289206,-0.386029,-0.356215,0.096823,0.096823,0.066827,0.288653,0.386079,0.000002
415,0.111920,0.933594,4041.246094,-0.319160,-0.431080,-0.390831,0.111920,0.111920,0.071919,0.318623,0.400327,0.000002
416,0.106571,0.902344,4004.375000,-0.307361,-0.413931,-0.377377,0.106571,0.106571,0.070560,0.307375,0.403593,0.000002
417,0.101935,0.867188,3911.683594,-0.291779,-0.393714,-0.358516,0.101935,0.101935,0.066821,0.290976,0.385670,0.000002
418,0.103716,0.929688,4038.859375,-0.309422,-0.413138,-0.381348,0.103715,0.103715,0.071693,0.308520,0.690040,0.000002
419,0.103618,0.898438,3973.609375,-0.312277,-0.415894,-0.384729,0.103618,0.103618,0.072023,0.311874,0.361980,0.000002
420,0.102001,0.910156,3984.390625,-0.301751,-0.403752,-0.369623,0.102001,0.102001,0.068391,0.302057,0.386093,0.000002
421,0.100026,0.957031,4054.257812,-0.307559,-0.407586,-0.378986,0.100027,0.100027,0.071247,0.307270,0.405267,0.000002
422,0.097362,0.914062,4010.148438,-0.290444,-0.387807,-0.357245,0.097362,0.097362,0.066698,0.289592,0.401173,0.000002
423,0.100876,0.894531,4019.429688,-0.306032,-0.406908,-0.377092,0.100876,0.100876,0.071392,0.305552,0.387043,0.000002
424,0.097126,0.933594,4046.000000,-0.285735,-0.382862,-0.351790,0.097126,0.097126,0.066664,0.285874,0.518880,0.000002
425,0.102928,0.878906,4011.464844,-0.302139,-0.405066,-0.371880,0.102928,0.102928,0.069527,0.301889,0.379926,0.000002
426,0.101479,0.875000,4010.656250,-0.297600,-0.399079,-0.365069,0.101479,0.101479,0.067523,0.296372,0.376676,0.000002
