id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
223,0.100441,0.100354,0.100354,0.061774,0.070158,0.917969,4022.500000
224,0.102089,0.102026,0.102026,0.058937,0.069697,0.917969,4011.882812
225,0.104079,0.104059,0.104059,0.060120,0.069279,0.894531,4004.343750
226,0.099507,0.099480,0.099480,0.056988,0.068479,0.906250,3980.867188
227,0.094457,0.094416,0.094416,0.056913,0.069437,0.894531,3978.023438
228,0.103626,0.103576,0.103576,0.058341,0.069329,0.914062,3993.753906
229,0.100413,0.100410,0.100410,0.059571,0.067543,0.898438,4001.148438
230,0.092782,0.092693,0.092694,0.057038,0.066946,0.886719,4005.316406
231,0.106655,0.106551,0.106551,0.063750,0.071877,0.941406,4049.769531
232,0.103570,0.103467,0.103467,0.062733,0.070743,0.886719,3995.652344
233,0.100420,0.100382,0.100382,0.058628,0.071247,0.910156,3978.238281
234,0.099979,0.099941,0.099941,0.058249,0.071568,0.894531,4017.925781
235,0.097382,0.097293,0.097293,0.059175,0.068637,0.949219,4060.625000
236,0.102565,0.102520,0.102520,0.060696,0.068160,0.937500,4015.203125
237,0.102633,0.102607,0.102607,0.059336,0.072035,0.882812,3939.562500
238,0.112146,0.112107,0.112107,0.058187,0.075013,0.937500,4027.183594
239,0.108322,0.108287,0.108287,0.057685,0.086259,0.886719,3983.195312
240,0.104854,0.104834,0.104834,0.060346,0.070099,0.964844,4075.015625
241,0.099761,0.099719,0.099719,0.059098,0.066125,0.945312,4041.082031
242,0.097676,0.097647,0.097647,0.057629,0.069345,0.972656,4079.035156
243,0.105623,0.105565,0.105565,0.061684,0.072633,0.964844,4070.062500
244,0.103554,0.103540,0.103540,0.061055,0.072175,0.878906,3966.015625
245,0.094477,0.094458,0.094458,0.058513,0.071186,0.917969,4017.039062
246,0.100531,0.100473,0.100473,0.059668,0.067736,0.957031,4062.046875
247,0.100207,0.100172,0.100172,0.059422,0.079698,0.894531,3986.531250
248,0.100896,0.100848,0.100848,0.060828,0.068611,0.921875,4036.378906
249,0.107334,0.107317,0.107317,0.063715,0.073305,0.921875,3972.269531
250,0.100087,0.100006,0.100006,0.059132,0.074719,0.984375,4086.027344
251,0.094821,0.094847,0.094847,0.058437,0.065281,0.914062,4001.269531
252,0.103676,0.103648,0.103648,0.059170,0.069459,0.890625,3965.968750
253,0.095973,0.095932,0.095932,0.058626,0.067696,0.921875,4027.054688
254,0.093832,0.093739,0.093739,0.056265,0.064171,0.945312,4050.187500
255,0.108919,0.108873,0.108873,0.062771,0.071055,0.925781,4028.417969
256,0.100714,0.100605,0.100606,0.059095,0.066713,0.949219,4054.945312
257,0.107049,0.106935,0.106935,0.062355,0.073532,0.945312,4029.781250
258,0.103234,0.103189,0.103189,0.060691,0.072765,0.906250,3998.277344
259,0.100206,0.100191,0.100191,0.059149,0.086092,0.949219,4066.437500
260,0.093296,0.093265,0.093265,0.062349,0.070261,0.859375,3991.867188
261,0.100536,0.100526,0.100526,0.060120,0.075540,0.898438,4012.949219
262,0.099361,0.099351,0.099351,0.059355,0.066861,0.968750,4079.519531
263,0.095972,0.095890,0.095890,0.056691,0.068333,0.871094,3976.398438
264,0.111263,0.111222,0.111222,0.062861,0.075745,0.921875,4036.375000
265,0.099894,0.099848,0.099848,0.057125,0.080156,0.929688,4020.933594
266,0.099950,0.099866,0.099866,0.057804,0.069066,0.863281,3951.976562
267,0.108441,0.108386,0.108386,0.063706,0.071514,0.957031,4033.132812
268,0.100542,0.100555,0.100555,0.061115,0.069237,0.902344,4005.246094
269,0.101210,0.101177,0.101177,0.061980,0.070316,0.929688,4010.277344
270,0.100499,0.100476,0.100476,0.060715,0.070681,0.902344,3994.683594
271,0.101661,0.101611,0.101611,0.059673,0.068200,0.917969,4027.515625
272,0.101268,0.101257,0.101257,0.059925,0.068500,0.937500,4039.882812
273,0.104711,0.104663,0.104663,0.060301,0.068660,0.941406,4055.003906
274,0.096131,0.096095,0.096095,0.057009,0.068350,0.910156,3994.175781
275,0.094412,0.094349,0.094349,0.058167,0.067879,0.894531,3965.699219
276,0.106771,0.106734,0.106734,0.063218,0.071907,0.906250,4038.222656
